#,VC NAME,WEBSITE,CONTACT,Country,HQ City,
70,Hummingbird Ventures,hummingbird-venture…,hello@hummingbird.vc,UK,London,
71,HV Ventures,https://www.hvventur…,info@hvcapital.com,Germa…,Munich,
72,Initalized Capital,https://initialized.com/,contact@initialized.com,USA,New York,
73,Innogest,http://www.innogestc…,info@innogestcapital.com,Italy,Milan,
74,Inventure,www.inventure.fi/,info@inventure.fi,Finland,Helsinki,
75,Invest Nebraska,https://www.investne…,https://www.investnebraska…,USA,Lincoln,
76,IQ Capital,https://iqcapital.vc/,hello@iqcapital.vc,UK,London,
77,Irrvnt VC,https://www.irrvrnt.co…,https://www.irrvrnt.com/#pi…,USA,New York,
78,JME Venture Capital,http://jme.vc/,backme@jme.vc,Spain,Madrid,
79,Johnson Venture Partners ,http://www.jvpfund.c…,info@jvpfund.com,USA,Atlanta,
80,K9 Ventures,https://www.k9ventur…,admin@k9ventures.com,USA,Palo Alto,
81,K50 Ventures,https://www.k50ventu…,hello@k50ventures.com,USA,New York,
82,Karma,http://www.karma.vc/,margus@karma.vc,Estonia,Tallinn,
83,Kindred Capital,https://kindredcapital.…,hello@kindredcapital.vc,UK,London,
84,KiwiVenture Partners ,http://www.kiwiventur…,info@kiwiventurepartners.c…,USA,New York,
85,Knightsgate Ventures,https://www.knightsg…,info@knightsgateventures.c…,USA,New York,
86,Launch Fund,https://launch.co/,contact@launch.co,USA,San Fra…,
87,Launchub ventures,https://launchub.com/,info@launchub.com,Bulgaria,Sofia,
88,Lerer Hippeau ,https://www.lererhipp…,CONTACT@LERERHIPPEAU.…,USA,New York,
89,Liberty City Ventures ,https://www.libertycit…,info@libertycityventures.com,USA,New York,
90,Liquid2 Ventures ,http://liquid2.vc/,info@liquid2.vc,USA,San Fra…,
91,Ludlow Ventures,https://www.ludlowve…,jt@ludlowventures.com,USA,Detroit,
92,M25 Group,https://m25vc.com/,https://m25vc.com/#contact,USA,Chicago,
93,MaC Venture Capital,https://macventureca…,https://macventurecapital.c…,USA,Los Ang…,
94,Matrix Partners,www.matrixpartners.c…,info@matrixpartners.com,USA,Boston,
95,Maven Ventures ,https://www.mavenve…,hello@mavenventures.com,USA,Palo Alto,
96,Mendoza Ventures,https://mendoza-vent…,https://mendoza-ventures.c…,USA,Boston,
97,Montage Ventures ,https://montageventu…,info@montageventures.com,USA,San Fra…,
98,Mucker Capital,https://www.mucker.c…,william@muckercapital.com,USA,Santa M…,
99,NEA,https://www.nea.com/,https://www.nea.com/contact,USA,New York,
100,Neulogy VC,http://www.neulogy.vc/,info@neulogy.vc,Slovakia,Bratislava,
101,New York Venture Partners,http://www.nyvp.com/,t@nyvp.com,USA,New York,
102,Newfund Capital,www.newfund-capital…,contact@newfund.fr,France,Paris,
103,NextView Ventures,www.nextviewventure…,jack@nextviewventures.com,USA,Boston,
104,North Atlantic Capital,https://www.northatla…,https://www.northatlanticca…,USA,Portland,
105,North Hill Ventures,www.northhillventure…,brettj.rome@northhillventur…,USA,Boston,
106,North Zone,https://northzone.com/,,USA,New York,
107,Notation Capital,https://notation.vc/,hello@notation.vc,USA,New York,
108,Notion Capital,www.notioncapital.co…,https://notionvc.typeform.c…,UK,London,
109,Octopus Investments,www.octopusventure…,https://octopusventures.typ…,UK,London,
110,Off the Grid Ventures ,https://www.otgventu…,info@otgventures.com,USA,San Fra…,
111,Oxford Capital,www.oxcp.com,investors@oxcp.com,UK,London,
112,P101,http://www.p101.it/,info@p101.it,Italy,Milan,
113,Pace Capital,https://pacecapital.co…,chris@pacecapital.com,USA,New York,
114,Pareto Holdings,https://www.pareto20…,https://www.pareto20.com/…,Miami,USA,
115,Passion Capital,https://www.passionc…,info@passioncapital.com,UK,London,
116,Pear VC,https://www.pear.vc/,,USA,Palo Alto,
117,Pillar,www.pillar.vc,contact@pillar.vc,USA,Boston,
118,PJC,www.pjc.vc,info@pjc.vc,USA,Boston,
119,Playfair Capital,https://playfaircapital.…,hello@playfaircapital.com,UK,London,
120,Polytech Ventures,https://polytechventu…,info@polytechventures.ch,Switze…,Lausanne,
121,Precursor Ventures,https://precursorvc.c…,hello@precursorvc.com,USA,San Fra…,
122,Project A Ventures,www.project-a.com,info@project-a.com,Germa…,Berlin,
123,Propel VC,http://propel.vc/,jay@propel.vc,USA,San Fra…,
124,PV Fund,http://pv.vc/,,USA,Chicago,
125,Quotidian Ventures,http://www.quotidian.…,hi@quotidian.co,USA,New York,
126,Reciprocal Ventures,https://recvc.com/,info@recinv.com,USA,New York,
127,Redalpine Venture Partners,www.redalpine.com,info@redalpine.com,Switze…,Zurich,
128,Resolute VC,http://resolute.vc/,info@resolute.vc,USA,Boston,
129,Resolution Ventures,https://www.resolution.ventures/,sam@resolution.ventures,Singapore,Singapore,
130,Right Side Capital,http://rightsidecapital…,inquiries@rightsidecapital.c…,USA,San Fra…,
131,Rough Draft Ventures,https://www.roughdra…,info@roughdraft.vc,USA,Boston,
132,Runa Capital,https://runacap.com/,info@runacap.com,USA,Palo Alto,
133,Sandalphon Capital ,http://sandalphoncapi…,http://sandalphoncapital.co…,USA,Chicago,
134,Saturn Partners,www.saturnpartnersv…,saturnasset@saturnpartner…,USA,Boston,
135,Scalar Capital,https://scalar.capital/,https://scalar.capital/contact,USA,Boston,
136,Schooner Capital,www.schoonercapital.…,info@schoonercapital.com,USA,Boston,
137,Scrum Ventures ,https://scrum.vc/,https://scrum.vc/contact/,USA,San Fra…,
138,Seabed VC,https://seabed.vc/,https://seabed.vc/pitch/,USA,San Fra…,
139,Seed Camp,https://seedcamp.com/,info@seedcamp.com,UK,London,
140,Serena Ventures,https://www.serena.vc/,,France,Paris,
141,Seven Seven Six,https://sevensevensix…,contact@sevensevensix,USA,Remote,
142,SevenVentures,https://www.sevenven…,info@sevenventures.de,Germa…,,
143,Shl Capital,https://shl.capital/,sahil@hey.com,USA,San Fra…,
144,Social Leverage ,https://www.sociallev…,info@socialleverage.com,USA,Phoenix,
145,Soma Capital ,https://www.somacap…,https://somacap.typeform.c…,USA,San Fra…,
146,Spark Capital,www.sparkcapital.com,INFO@SPARKCAPITAL.COM,USA,Boston,
147,Speed Invest,https://speedinvest.c…,startup@speedinvest.com,Austria,Vienna,
148,Start Garden,http://startgarden.com/,,USA,Grand R…,
149,Structure Capital ,https://structure.vc/,https://structure.vc/dealflow/,USA,San Fra…,
150,Target Global,http://www.targetglob…,https://www.targetglobal.vc/…,Germa…,Berlin,
151,TechSquare Labs ,https://techsquare.co/,hello@techsquare.co,USA,Atlanta,
152,Tera Ventures,https://www.tera.vc/,tera@tera.vc,Estonia,Tallin,
153,The Impact Engine ,https://www.theimpac…,https://www.theimpactengin…,USA,Chicago,
154,TRAC Partners,https://www.tracpartn…,info@tracpartners.com,USA,Boston,
155,Triple Point Capital,https://www.triplepoin…,jlabe@triplepointcapital.com,USA,Menlo P…,
156,TrueSight Ventures,https://www.truesight.…,info@truesight.vc,UK,London,
157,Tusk Ventures,https://tusk.vc/,info@tusk.vc,USA,New York,
158,TYLT Ventures ,https://www.tyltventu…,https://www.tyltventures.co…,USA,Santa M…,
159,Ubiquity Ventures,ubiquity.vc/,coffee@ubiquity.vc,USA,,
160,Underscore.VC,https://underscore.vc/,Hello@underscore.vc,USA,Boston,
161,Velocity Capital,https://www.velocity.c…,https://www.velocity.co.com…,UK,London,
162,Venrock,www.venrock.com,mft@venrock.com,USA,Boston,
163,Ventech,www.ventechvc.com,team@ventech.vc,France,Paris,
164,Venture Capital Fund of N…,http://www.vcfne.com/,inquiries@vcfne.com,USA,Boston,
165,Vine St. Ventures,http://vinestventures.…,info@vinestventures.com,USA,Cincinn…,
166,Volta Ventures,www.voltaventures.eu,info@voltaventures.eu,Belgium,Gent,
167,Weekend Fund,https://www.weekend.…,ryan@weekend.fund,USA,San Fra…,
168,Wildcar Venture Partners,https://wildcat.vc/,ideas@wildcat.vc,USA,San Mat…,
169,Wonder VC,https://wondervc.com/,https://wondervc.com/conta…,USA,Los Ang…,
